week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
1,Donner,Juanita,13,,13,,,,,,,,,,"black-diamond, the-colosseum, the-ridge, the-silo"
1,Donner,Mr. Belding,13,3,9,,,,,,,,1,,"the-colosseum, the-ridge"
2,Prancer,Dilbert,13,,12,,,,,,,,1,,"the-grove, the-ridge"
1,Prancer,Flo,13,4,9,,,,,,,,,,"the-colosseum, the-grove, the-ridge"
2,Rudolph,Foreclosure,13,,13,,,,,,,,,,"black-diamond, the-olympiad, the-silo"
2,Rudolph,Slapshot,13,,12,,,,,,,,1,,"da-grizz, ravens-nest"
2,Vixen,5-Putt,13,,12,,,,,,,,1,,the-ridge
1,Blitzen,Just Dance,12,6,6,,,,,,,,,,"the-colosseum, the-ridge"
1,Blitzen,Kidney Beans,12,3,9,,,,,,,,,,"the-colosseum, the-grove"
0,Blitzen,Pee Wee Herman,12,,12,,,,,,,,,,"black-rock, da-grizz, the-colosseum"
0,Blitzen,Xena- Warrior Princess,12,,6,,,,,5,,,1,,the-colosseum
1,Blitzen,Xena- Warrior Princess,12,,6,,,,,5,,,1,,the-colosseum
0,Comet,Heifer,12,,12,,,,,,,,,,"the-colosseum, the-grove, the-ridge"
0,Cupid,Bunker,12,,6,,,,,,5,,1,,the-colosseum
0,Cupid,Duck Hunt,12,,9,,,,,,,3,,,da-grizz
4,Cupid,Duck Hunt,12,,11,,,,,,,,1,,black-diamond
4,Dancer,Foghorn,12,,11,,,,,,,,1,,"black-diamond, the-silo"
1,Dancer,HandsOn,12,,6,,,,3,,,3,,,"the-colosseum, the-olympiad"
3,Dancer,Sparky,12,,12,,,,,,,,,,"el-coyote, the-colosseum, the-ridge"
2,Dancer,Thesaurus,12,,12,,,,,,,,,,"da-grizz, the-olympiad, the-silo"
0,Dasher,Norm,12,3,6,,,,,,,3,,,
2,Dasher,Zimmer,12,,6,,,,,5,,,1,,the-ridge
0,Donner,John Denver,12,6,6,,,,,,,,,,the-colosseum
2,Donner,Mr. Belding,12,,12,,,,,,,,,,the-ridge
2,Donner,fuzzy navel,12,,12,,,,,,,,,,"da-grizz, el-coyote"
1,Prancer,Circuit City,12,6,6,,,,,,,,,,"ravens-nest, the-colosseum"
2,Prancer,Spit Valve,12,,12,,,,,,,,,,"the-olympiad, the-ridge"
0,Rudolph,Slapshot,12,,12,,,,,,,,,,"da-grizz, ravens-nest"
4,Vixen,5-Putt,12,,12,,,,,,,,,,"the-colosseum, the-ridge"
1,Vixen,Fish Tape,12,,12,,,,,,,,,,"the-colosseum, the-grove, the-ridge"
0,Vixen,Stitch,12,3,9,,,,,,,,,,"the-colosseum, the-ridge"
1,Blitzen,Derailed,11,4,6,,,,,,,,1,,"dmz, the-grove"
3,Blitzen,Morticia,11,,6,,,,,5,,,,,"dmz, the-ridge"
4,Comet,Mahomes,11,,6,,,,,5,,,,,"the-ridge, the-silo"
1,Dasher,BABYMOMMA,11,3,,,,,,,5,3,,,
